Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Age,Total_Children,Customer_For_Years
Graduation,Married,15759.0,0,0,12,0,2,0,0,0,3,1,1,0,2,7,0,0,66,0,13
Master,Married,26326.0,0,0,12,0,0,0,0,3,9,1,0,0,3,3,0,1,50,0,13
Graduation,Married,62061.0,0,1,12,500,7,84,0,30,38,3,10,4,7,6,0,0,50,1,13
Graduation,Married,5305.0,0,1,12,0,4,0,0,3,5,0,1,0,0,13,0,0,50,1,13
Master,Single,75777.0,0,0,12,500,26,500,69,13,80,1,3,6,11,1,1,0,44,0,13
Master,Married,71499.0,0,1,12,465,25,132,100,0,37,2,8,3,13,4,0,0,55,1,13
PhD,Single,31626.0,1,0,12,39,1,0,0,1,34,1,2,1,2,7,1,0,48,1,13
Master,Married,42670.0,0,0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,34,0,13
Graduation,Single,83917.0,0,0,12,500,22,500,42,65,79,1,6,7,7,3,1,0,53,0,13
Master,Married,41021.0,1,0,12,0,7,0,0,16,12,2,2,0,3,6,1,0,57,1,14
Graduation,Married,79456.0,0,0,12,500,42,500,64,65,99,1,5,6,4,3,1,0,66,0,14
Master,Divorced,78789.0,0,0,12,500,50,500,21,65,83,1,4,6,5,2,1,0,46,0,14
PhD,Married,50870.0,0,1,13,53,0,0,0,0,2,1,2,0,3,5,0,0,66,1,12
Master,Married,35876.0,0,0,13,66,2,40,0,3,14,1,3,1,3,6,0,0,43,0,12
Graduation,Married,23539.0,0,0,13,0,24,11,16,1,25,1,2,0,4,6,0,0,66,0,12
Master,Single,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,1,0,59,1,12
Master,Married,62466.0,0,1,13,129,75,259,100,65,83,5,6,3,12,4,0,0,56,1,12
Graduation,Married,54198.0,1,1,13,185,0,28,0,2,17,6,3,1,6,4,0,0,60,2,13
PhD,Married,82170.0,0,0,13,500,75,500,49,55,37,1,5,6,7,2,0,0,48,0,13
PhD,Single,61798.0,0,0,13,338,4,89,11,8,13,1,4,2,9,4,0,0,62,0,13
Basic,Single,15253.0,1,0,13,0,3,0,0,1,13,2,1,0,3,7,0,0,34,1,13
Master,Married,78285.0,0,0,13,500,75,391,100,65,40,1,6,4,10,3,0,0,38,0,13
Graduation,Single,62535.0,0,1,13,163,48,90,0,45,52,1,3,2,8,3,0,0,66,1,13
Basic,Married,27190.0,1,0,13,0,6,0,0,1,3,1,1,0,2,8,1,0,53,1,13
Master,Married,48985.0,0,1,13,19,13,18,10,7,8,1,1,1,3,3,0,0,58,1,13
Graduation,Married,72940.0,0,0,13,182,74,298,100,65,116,1,3,3,6,1,0,0,56,0,13
Master,Married,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,41,1,13
Master,Married,81843.0,0,0,13,500,75,500,34,65,125,1,5,9,12,3,0,0,66,0,13
Graduation,Married,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,38,1,13
PhD,Married,45759.0,1,1,13,42,1,18,0,0,4,2,2,0,3,7,0,0,62,2,13
Graduation,Married,78394.0,0,0,13,298,27,500,100,24,125,1,4,6,5,2,1,0,40,0,13
Graduation,Single,30279.0,1,0,13,0,4,14,0,4,1,1,1,0,3,8,0,0,37,1,14
Graduation,Single,31880.0,1,0,13,0,1,0,0,0,3,1,1,0,2,8,0,0,56,1,14
Graduation,Single,60208.0,1,1,13,488,23,71,15,0,59,11,8,3,7,7,1,0,53,2,14
Graduation,Married,78687.0,0,0,13,500,75,500,100,55,125,1,4,6,8,2,1,0,43,0,14
PhD,Married,37401.0,1,0,14,19,3,19,0,1,3,2,2,0,3,7,0,0,53,1,12
Graduation,Married,75315.0,0,1,14,459,15,171,100,23,31,2,5,4,12,2,0,0,66,1,12
Graduation,Single,69263.0,0,1,14,492,5,32,13,5,21,1,9,1,7,6,0,0,61,1,12
Graduation,Married,78569.0,0,0,14,500,75,500,100,65,95,1,4,6,4,1,1,0,66,0,12
PhD,Married,57705.0,0,1,14,383,0,53,0,4,40,3,8,1,6,6,0,0,60,1,12
Master,Married,74805.0,0,1,14,209,75,209,41,65,37,5,4,7,10,2,0,0,66,1,13
PhD,Married,66426.0,0,1,14,500,24,97,32,24,125,2,3,5,10,6,0,0,65,1,13
Master,Single,51529.0,0,1,14,400,4,35,0,0,22,2,9,1,5,8,0,0,66,1,13
Graduation,Married,18100.0,0,0,14,0,1,0,0,3,1,1,0,0,3,5,0,0,66,0,13
Master,Divorced,59601.0,0,1,14,500,7,69,0,7,23,4,2,2,7,8,0,0,49,1,13
Master,Married,20981.0,0,0,14,0,12,10,0,13,30,1,3,1,2,8,1,0,49,0,13
Graduation,Married,74068.0,0,0,14,500,30,500,100,65,15,1,4,10,9,2,0,0,50,0,13
Graduation,Married,36790.0,0,0,14,0,3,14,15,21,10,1,2,1,2,9,1,0,43,0,13
Graduation,Married,18793.0,1,0,14,0,16,20,0,17,20,3,2,0,4,8,0,0,55,1,13
Graduation,Single,27421.0,0,0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,66,0,14
Graduation,Married,30675.0,1,0,14,0,2,16,11,2,21,1,1,0,3,8,0,0,54,1,14
Graduation,Married,83145.0,0,0,14,500,35,500,39,65,114,1,5,9,11,2,1,0,52,0,14
Master,Married,34053.0,0,1,14,63,0,21,0,0,12,1,3,0,3,8,0,0,58,1,14
Master,Single,31788.0,1,0,15,16,7,23,0,8,6,3,3,0,4,5,0,1,43,1,12
Master,Married,45894.0,0,2,15,27,2,0,0,2,13,1,1,0,3,5,0,0,52,2,12
Graduation,Divorced,41986.0,0,1,15,27,5,0,0,3,12,3,3,0,4,4,0,0,48,1,12
PhD,Married,42769.0,0,1,15,71,0,13,0,1,0,2,1,1,4,4,0,0,64,1,13
Master,Married,58582.0,0,1,15,402,35,106,100,65,42,2,9,2,9,5,0,0,44,1,13
Graduation,Married,49096.0,1,1,15,144,1,32,0,1,7,4,4,1,4,7,0,0,62,2,13
PhD,Single,76412.0,0,0,15,500,53,500,23,65,17,1,5,4,8,3,1,0,46,0,13
Graduation,Married,18929.0,0,0,15,32,0,0,23,4,18,1,1,0,4,6,0,0,36,0,13
Master,Single,21888.0,1,0,15,88,10,46,0,3,64,4,5,1,2,10,1,0,40,1,14
Graduation,Married,41580.0,1,1,15,56,5,24,0,0,3,3,2,1,3,5,0,0,48,2,14
PhD,Married,31605.0,1,0,15,74,0,42,0,1,6,2,2,1,4,7,0,0,47,1,14
PhD,Divorced,25509.0,1,0,15,40,3,30,10,7,11,3,3,0,3,9,1,0,52,1,14
Master,Single,33051.0,0,0,15,100,71,243,100,65,125,3,9,1,8,9,1,0,66,0,14
PhD,Married,28764.0,1,1,16,0,0,0,0,0,1,1,1,0,2,8,0,0,60,2,12
Master,Married,32146.0,1,0,16,26,3,23,0,7,3,2,2,0,4,6,0,0,43,1,12
Graduation,Single,22148.0,0,0,16,15,5,14,0,4,11,1,1,0,3,7,0,0,43,0,12
Graduation,Married,36781.0,1,0,16,29,1,17,0,3,13,1,2,1,2,8,1,0,47,1,12
Master,Married,54197.0,0,1,16,162,6,37,0,13,13,2,1,3,6,1,0,0,66,1,12
Graduation,Single,93790.0,0,0,16,500,68,500,89,65,45,0,6,7,12,2,1,0,56,0,12
Graduation,Single,24762.0,1,0,16,0,10,12,0,15,40,3,3,1,2,8,1,0,54,1,12
Master,Married,30477.0,1,0,16,47,1,0,0,0,12,1,1,1,3,6,0,0,42,1,12
Master,Divorced,11448.0,0,0,16,0,0,0,0,2,6,1,1,0,2,6,0,0,51,0,13
Graduation,Divorced,70844.0,1,1,16,129,26,67,0,65,2,5,6,1,5,7,0,0,59,2,13
Graduation,Single,30828.0,1,0,16,16,11,15,0,0,12,2,1,1,4,3,0,0,46,1,13
Master,Married,62513.0,0,1,16,500,42,98,0,42,14,2,6,4,10,6,0,0,59,1,13
Master,Married,27733.0,1,0,16,0,7,0,26,2,17,2,2,0,3,7,0,0,45,1,13
PhD,Married,39435.0,1,0,16,71,0,18,0,0,13,1,3,1,2,7,0,0,53,1,13
Master,Single,75345.0,0,0,16,500,57,500,99,38,125,1,5,8,6,3,1,0,56,0,13
Master,Married,20491.0,0,0,16,0,4,0,0,2,10,1,0,1,2,7,0,0,40,0,13
Graduation,Married,36715.0,1,0,16,172,10,125,21,13,16,6,7,2,4,9,1,0,55,1,14
Graduation,Married,71706.0,0,1,16,500,56,253,91,65,14,4,9,5,7,5,0,0,66,1,14
PhD,Married,69063.0,0,1,16,500,35,124,69,8,26,1,5,3,5,3,0,0,60,1,14
Graduation,Married,24645.0,1,0,16,0,3,0,0,1,0,1,1,0,2,8,0,0,38,1,14
Graduation,Married,35797.0,0,1,16,27,1,14,0,1,21,2,2,0,3,8,0,0,51,1,14
Graduation,Married,44078.0,1,1,17,24,1,10,0,0,4,2,2,0,3,5,0,0,57,2,12
Graduation,Single,26954.0,1,0,17,0,1,11,0,0,1,1,1,0,2,7,0,0,55,1,12
PhD,Married,52247.0,1,0,17,25,1,13,0,0,3,1,1,0,3,7,0,0,54,1,12
PhD,Married,38887.0,1,0,17,25,1,13,0,0,3,1,1,0,3,7,0,0,54,1,12
Master,Married,65463.0,1,0,17,391,32,70,21,32,16,2,6,2,9,5,0,0,52,1,12
PhD,Married,53537.0,1,1,17,81,0,0,0,0,6,2,2,1,3,5,0,0,66,2,12
Master,Single,36230.0,1,0,17,0,2,30,0,2,3,1,2,0,4,5,0,0,55,1,13
Graduation,Married,80763.0,0,0,17,500,75,108,100,42,125,1,5,11,6,3,1,0,66,0,13
PhD,Married,60585.0,1,1,17,267,42,309,55,42,21,10,7,4,9,5,1,0,55,2,13
Graduation,Single,49166.0,0,1,17,224,2,25,0,0,110,2,5,3,3,6,0,0,52,1,13
PhD,Married,75261.0,0,0,17,500,17,413,23,34,17,1,5,6,5,2,1,0,66,0,13
Graduation,Married,89891.0,0,0,17,412,22,132,59,28,125,1,11,6,8,4,0,0,35,0,13
Master,Married,72828.0,0,1,17,500,0,235,19,14,125,6,6,3,13,7,0,0,64,1,13
Graduation,Married,75278.0,0,0,17,304,75,230,100,65,74,1,6,3,13,3,0,0,66,0,13
Graduation,Single,38557.0,1,0,17,76,3,31,0,4,27,2,3,1,3,7,0,0,48,1,14
PhD,Married,81300.0,0,1,17,500,12,145,32,12,36,3,10,3,5,5,1,0,63,1,14
Master,Divorced,60161.0,0,1,17,500,44,212,46,8,125,3,11,4,8,8,0,0,61,1,14
PhD,Married,69389.0,0,1,17,422,7,238,69,46,15,1,7,2,12,4,0,0,49,1,14
Graduation,Divorced,64497.0,0,1,17,500,48,320,42,32,125,5,11,4,9,8,1,0,66,1,14
Graduation,Married,61014.0,0,1,17,269,75,495,100,43,29,4,9,3,4,7,0,0,46,1,14
Master,Married,44319.0,1,1,18,26,0,0,0,0,3,2,2,0,3,5,0,0,51,2,12
Master,Married,53233.0,0,1,18,28,0,0,0,0,0,1,1,0,3,4,0,0,66,1,12
Graduation,Married,77972.0,0,0,18,500,22,319,33,65,12,1,4,6,9,1,0,0,66,0,12
Graduation,Divorced,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,39,0,12
Graduation,Divorced,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,1,0,39,0,12
Basic,Single,25707.0,1,0,18,0,6,0,0,6,3,1,1,0,3,7,0,0,42,1,12
PhD,Married,42403.0,1,0,18,22,1,11,0,5,3,1,1,0,3,8,0,0,55,1,13
Master,Single,65704.0,0,0,18,279,75,74,38,8,125,1,2,10,10,1,0,0,54,0,13
Graduation,Married,37406.0,1,0,18,0,0,0,0,2,3,1,1,0,2,8,1,0,46,1,13
Master,Married,39767.0,0,0,18,113,61,204,34,26,47,2,7,1,7,8,0,0,66,0,13
Master,Married,54210.0,0,1,18,70,54,109,80,9,45,2,4,1,7,5,0,0,47,1,13
Graduation,Divorced,57136.0,0,0,18,267,75,500,34,12,125,1,7,5,7,6,1,0,59,0,13
Graduation,Married,40794.0,0,1,18,261,23,73,0,23,50,2,6,3,5,7,0,0,51,1,13
Graduation,Married,83003.0,0,0,18,500,61,500,40,25,122,1,7,6,8,3,1,0,61,0,13
Master,Married,89058.0,0,0,18,454,75,106,31,22,43,1,5,4,4,2,0,0,66,0,14
Master,Married,20193.0,0,0,18,0,8,22,24,11,9,1,1,1,4,4,0,0,35,0,14
Graduation,Married,72099.0,0,0,18,500,75,410,100,0,22,1,3,4,10,1,0,0,52,0,14
Graduation,Married,43824.0,1,1,18,96,1,42,12,3,32,4,3,1,4,8,0,0,55,2,14
Graduation,Married,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,51,2,14
Graduation,Married,44359.0,1,1,19,20,0,14,0,3,1,3,2,0,4,3,0,0,48,2,12
Graduation,Married,79410.0,0,0,19,500,75,483,100,13,13,1,3,2,5,1,0,0,65,0,12
Master,Married,55842.0,0,1,19,451,0,39,0,4,24,1,7,1,8,5,0,0,49,1,12
Graduation,Single,79946.0,0,0,19,395,75,500,100,65,28,1,5,11,5,3,0,0,60,0,12
Master,Single,88194.0,0,1,19,500,14,309,100,24,38,1,11,10,10,5,1,0,47,1,12
Master,Married,80184.0,0,0,19,500,75,500,25,38,0,1,6,3,10,3,0,0,66,0,12
Graduation,Divorced,76982.0,0,0,19,464,75,292,65,60,30,1,8,3,4,4,1,0,59,0,12
PhD,Single,65295.0,0,0,19,365,32,117,34,65,6,1,3,3,13,2,0,0,46,0,13
Graduation,Married,57100.0,0,0,19,181,21,69,39,3,96,1,3,3,6,3,0,0,53,0,13
Graduation,Married,29009.0,1,0,19,0,6,15,10,5,2,2,2,0,3,6,0,0,45,1,13
PhD,Married,78931.0,0,0,19,331,75,170,58,65,35,1,2,8,13,1,0,0,55,0,13
Master,Married,7500.0,1,0,19,0,1,10,0,2,12,3,2,0,3,5,0,0,51,1,13
Graduation,Married,56939.0,0,1,19,256,34,103,90,29,49,2,3,3,10,3,0,0,50,1,13
Graduation,Single,64509.0,0,0,19,500,75,500,24,25,77,1,6,3,9,4,1,0,36,0,13
Graduation,Married,30093.0,0,0,19,0,6,28,13,4,16,1,2,0,3,7,0,0,36,0,13
PhD,Married,30351.0,1,0,19,0,0,24,0,3,2,1,3,0,2,9,1,0,52,1,13
PhD,Married,30351.0,1,0,19,0,0,24,0,3,2,1,3,0,2,9,0,0,52,1,13
PhD,Married,38201.0,0,1,19,233,0,23,0,0,12,4,5,1,5,8,0,0,66,1,13
Graduation,Single,52247.0,1,0,19,0,1,0,0,65,125,0,27,0,0,1,0,0,40,1,13
PhD,Married,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,46,1,14
Graduation,Married,38200.0,1,1,19,0,0,0,0,0,1,1,1,0,2,7,0,0,56,2,14
Master,Divorced,87305.0,0,0,19,345,25,500,63,65,80,1,5,3,8,2,1,0,66,0,14
Graduation,Married,16860.0,1,1,19,0,4,0,0,3,14,3,1,1,3,7,0,0,65,2,14
PhD,Single,27213.0,1,0,19,19,3,26,10,9,3,3,2,0,4,8,1,0,54,1,14
Graduation,Married,7500.0,1,0,19,0,0,12,13,7,32,5,4,1,2,9,1,0,50,1,14
Graduation,Divorced,4861.0,0,0,20,0,1,0,0,0,1,0,0,0,0,14,0,0,61,0,12
Master,Married,38196.0,1,1,20,30,0,11,0,0,3,3,2,0,4,5,0,0,55,2,12
PhD,Married,41145.0,1,1,20,0,0,0,0,0,1,1,0,0,3,3,0,0,66,2,12
PhD,Single,38513.0,1,0,20,172,3,115,16,0,18,5,6,1,5,8,1,0,44,1,12
Graduation,Married,45688.0,0,1,20,279,0,18,0,0,9,2,3,1,8,4,0,0,58,1,12
PhD,Married,77863.0,0,0,20,500,38,319,16,25,12,1,4,5,10,2,0,0,66,0,13
Master,Married,42169.0,1,1,20,19,0,0,0,0,2,2,1,0,3,8,0,0,57,2,13
Graduation,Single,45906.0,0,1,20,305,3,27,0,3,125,2,5,4,4,5,0,0,62,1,13
Master,Divorced,35388.0,1,0,20,0,4,0,0,3,8,1,1,0,3,7,0,0,38,1,13
Graduation,Married,80952.0,0,0,20,500,75,500,41,27,44,1,8,5,11,8,1,0,57,0,13
Graduation,Married,39898.0,0,1,20,69,8,26,12,7,12,2,3,0,4,7,0,0,66,1,13
Master,Divorced,44051.0,1,1,20,79,7,58,0,3,18,4,3,1,4,6,1,0,53,2,13
Graduation,Married,86718.0,0,0,20,344,75,482,50,33,125,1,5,6,5,2,0,0,66,0,13
Master,Married,80141.0,0,0,20,500,75,500,52,40,40,1,7,4,10,6,1,0,40,0,13
Graduation,Married,58597.0,1,1,20,490,0,184,10,28,21,12,7,4,9,7,0,0,50,2,14
PhD,Married,70356.0,0,0,20,500,16,249,43,16,33,2,10,6,9,6,0,0,66,0,14
Graduation,Single,46904.0,1,1,20,153,4,56,0,9,31,4,5,1,4,8,0,0,59,2,14
Graduation,Married,37760.0,0,0,20,84,5,38,100,12,28,2,4,1,6,7,0,0,66,0,14
Graduation,Single,61839.0,0,0,20,500,75,379,100,17,120,1,4,8,4,8,0,0,62,0,14
PhD,Married,29791.0,1,0,21,0,0,0,0,0,0,2,2,0,3,5,0,0,54,1,12
PhD,Single,48918.0,1,1,21,52,0,0,0,0,1,2,1,0,4,4,0,0,63,2,12
Graduation,Married,58692.0,0,1,21,301,11,61,0,7,11,1,8,2,4,7,0,0,61,1,12
Graduation,Married,39356.0,1,1,21,15,0,0,0,0,6,1,1,0,2,6,0,0,50,2,12
Master,Married,76234.0,0,1,21,500,50,167,100,0,41,1,8,3,11,3,0,0,54,1,12
Graduation,Married,55434.0,1,0,21,238,75,215,100,65,76,3,5,3,13,4,0,0,42,1,13
Master,Married,66835.0,0,0,21,500,26,195,34,17,125,1,6,4,13,2,0,0,66,0,13
Graduation,Married,71965.0,0,1,21,500,19,286,50,38,125,3,6,3,5,3,0,0,66,1,13
Graduation,Married,74538.0,0,0,21,380,75,500,100,65,28,1,8,8,5,3,1,0,55,0,13
Graduation,Divorced,50002.0,0,1,21,443,5,71,21,16,82,2,8,2,7,7,0,0,66,1,13
Graduation,Married,53977.0,0,1,21,500,16,165,0,24,82,5,5,5,12,5,0,0,66,1,13
Graduation,Married,69930.0,0,0,21,252,75,500,100,65,125,1,4,5,12,3,0,0,55,0,13
PhD,Married,62981.0,0,0,21,500,14,500,38,44,0,1,4,5,13,3,0,0,59,0,13
Master,Married,46014.0,1,1,21,410,0,59,19,9,44,10,7,1,8,7,0,0,52,2,13
Graduation,Married,18227.0,1,0,21,0,2,0,0,3,11,1,0,1,2,8,0,0,39,1,14
Graduation,Married,65991.0,0,1,21,500,19,364,25,47,9,3,9,5,10,7,0,0,50,1,14
Graduation,Single,38808.0,1,0,21,125,17,52,0,19,30,4,5,1,4,8,1,0,54,1,14
Master,Married,43783.0,1,0,22,327,9,125,25,4,125,6,7,1,8,7,0,0,48,1,12
PhD,Married,30396.0,1,0,22,15,0,0,0,1,12,2,1,1,2,7,1,0,57,1,12
PhD,Married,65526.0,0,1,22,397,19,69,12,0,9,1,4,4,8,2,0,0,62,1,12
Graduation,Married,55956.0,0,0,22,500,38,104,50,9,38,2,7,3,4,4,0,0,66,0,12
Graduation,Divorced,55563.0,0,1,22,29,1,0,0,0,2,1,2,0,3,3,0,0,48,1,12
PhD,Married,57236.0,1,1,22,105,0,0,0,1,4,3,2,1,4,3,0,0,61,2,12
Graduation,Divorced,89694.0,1,1,22,500,28,211,37,28,42,3,4,3,4,5,0,0,53,2,13
Master,Married,57420.0,0,1,22,280,0,18,0,0,24,3,5,1,6,7,0,0,55,1,13
Graduation,Married,33622.0,1,1,22,39,1,22,0,4,12,3,2,0,4,7,0,0,54,2,13
PhD,Single,29999.0,1,0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,40,1,13
PhD,Married,31497.0,0,1,22,108,1,28,13,1,4,2,3,1,4,8,0,0,64,1,14
PhD,Single,36802.0,1,0,23,16,1,0,0,0,1,1,1,0,3,5,0,0,46,1,12
Graduation,Divorced,61671.0,0,1,23,500,7,56,0,0,28,8,10,4,6,8,0,0,58,1,12
Master,Single,60182.0,0,1,23,0,0,0,0,0,2,1,1,0,2,4,0,0,66,1,12
PhD,Married,29732.0,1,0,23,25,0,0,0,1,4,1,2,0,2,9,0,0,55,1,12
PhD,Married,45921.0,0,0,23,102,9,49,24,3,12,1,2,1,6,4,0,0,40,0,12
Graduation,Married,16529.0,1,0,23,0,0,0,13,0,1,1,1,0,3,6,0,0,42,1,12
Master,Single,98777.0,0,0,23,500,19,500,100,65,38,0,4,6,9,1,0,0,66,0,12
Master,Married,77027.0,0,1,23,500,57,242,45,0,11,2,8,3,6,4,0,0,66,1,12
Graduation,Married,69139.0,0,1,23,86,12,75,33,15,6,1,4,1,5,4,0,0,61,1,12
Graduation,Married,65169.0,0,0,23,500,0,69,0,0,46,1,10,4,13,6,1,0,44,0,12
Graduation,Single,40049.0,0,1,23,0,6,0,0,3,3,1,1,0,3,6,0,0,66,1,13
Graduation,Married,69755.0,0,0,23,217,75,373,100,23,93,1,3,6,12,1,0,0,66,0,13
PhD,Married,52247.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,65,1,13
PhD,Married,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,65,1,13
Graduation,Single,60689.0,0,1,23,240,75,216,63,6,24,4,4,4,10,3,0,0,66,1,13
Basic,Single,26487.0,1,0,23,0,8,10,12,14,23,3,2,1,3,5,0,0,48,1,13
Graduation,Married,28164.0,1,0,23,0,18,26,11,8,12,3,2,0,4,7,0,0,56,1,13
Graduation,Single,22585.0,0,0,23,0,9,15,13,2,39,1,1,1,2,9,1,0,56,0,13
Graduation,Married,64795.0,0,1,23,412,5,119,38,29,77,3,3,3,12,2,0,0,55,1,13
PhD,Single,42000.0,0,0,23,124,75,267,85,59,35,2,5,2,11,5,1,0,39,0,13
Graduation,Married,70713.0,0,1,23,500,75,279,82,65,125,6,5,6,8,3,0,0,60,1,14
PhD,Single,82800.0,0,0,23,500,22,115,59,65,45,1,7,6,12,3,1,0,66,0,14
Basic,Married,30801.0,0,1,23,0,4,0,15,2,11,2,1,0,3,7,0,0,51,1,14
Master,Married,83891.0,0,1,24,217,38,350,100,65,15,1,4,7,10,1,0,0,52,1,12
Master,Divorced,38054.0,1,1,24,23,2,17,0,1,0,2,2,0,3,7,0,0,66,2,12
Graduation,Married,14045.0,1,0,24,0,0,0,0,1,1,1,1,0,3,7,0,0,57,1,12
PhD,Married,44155.0,1,1,24,22,1,0,0,0,14,1,1,1,2,4,0,0,66,2,12
PhD,Single,57642.0,0,1,24,500,6,58,0,0,27,3,7,6,6,4,0,0,56,1,12
Graduation,Married,31353.0,1,1,24,0,0,10,0,1,7,2,1,1,2,8,0,0,49,2,13
Graduation,Married,31353.0,1,1,24,0,0,10,0,1,7,2,1,1,2,8,1,0,49,2,13
Master,Divorced,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,58,1,13
PhD,Single,40737.0,2,1,24,0,0,0,0,0,2,1,1,0,2,8,0,0,66,3,13
Master,Married,19789.0,1,0,24,0,5,0,28,6,28,3,2,1,3,5,0,0,51,1,13
PhD,Divorced,35946.0,1,1,24,0,0,0,0,0,0,1,0,0,3,5,0,0,66,2,13
Master,Married,36262.0,0,0,24,88,39,54,64,28,125,1,3,5,3,6,1,0,43,0,13
Master,Single,44551.0,0,1,24,182,4,33,0,0,66,2,4,1,5,7,0,0,66,1,13
Graduation,Married,71367.0,0,0,24,227,23,389,42,21,75,1,4,5,7,2,0,0,66,0,13
Graduation,Married,57957.0,0,1,24,290,59,177,77,5,29,7,4,6,8,3,0,1,66,1,13
Master,Married,50334.0,0,1,24,284,16,160,84,16,125,6,7,4,6,6,0,0,54,1,13
Master,Married,48150.0,0,1,24,173,2,39,0,2,47,3,5,1,4,7,0,0,66,1,13
Graduation,Married,56796.0,0,1,24,500,38,161,62,47,37,3,8,9,7,7,0,0,57,1,13
PhD,Single,52278.0,0,1,24,500,0,71,0,0,125,6,10,5,10,8,1,0,63,1,13
PhD,Single,52278.0,0,1,24,500,0,71,0,0,125,6,10,5,10,8,0,0,63,1,13
Master,Married,7500.0,0,0,24,0,18,14,15,22,50,3,3,1,3,9,1,0,30,0,14
Master,Married,33444.0,1,1,24,0,0,0,0,0,2,1,1,0,2,8,0,0,66,2,14
Graduation,Married,20895.0,1,0,24,18,3,17,0,0,4,1,2,0,3,9,0,0,53,1,14
Master,Married,37509.0,1,0,24,37,5,56,12,8,5,2,3,0,4,7,0,0,50,1,14
Master,Married,88097.0,1,0,24,163,0,480,0,65,75,1,6,5,8,9,1,0,48,1,14
Graduation,Married,59041.0,1,1,25,69,2,15,0,2,6,2,2,0,4,5,0,0,53,2,12
Graduation,Single,43322.0,0,0,25,56,7,48,10,2,18,1,3,0,4,7,0,0,52,0,12
PhD,Married,46015.0,1,1,25,38,0,0,0,0,6,1,1,0,3,7,0,0,66,2,12
Master,Married,34242.0,0,1,25,0,2,0,0,0,1,1,0,0,3,5,0,0,66,1,12
Graduation,Married,65210.0,0,1,25,500,0,70,0,7,28,2,9,3,8,6,0,0,66,1,12
PhD,Single,50520.0,0,1,25,112,0,0,0,1,14,2,3,1,3,6,0,0,66,1,12
Graduation,Married,90765.0,0,0,25,500,75,500,100,65,33,0,4,6,5,1,0,0,56,0,12
Graduation,Married,80589.0,0,0,25,500,75,500,100,40,26,1,5,10,5,1,1,0,66,0,12
Master,Married,49572.0,1,1,25,35,1,16,0,1,1,2,2,0,3,7,0,0,66,2,13
Graduation,Married,75437.0,0,0,25,500,0,500,95,58,0,1,8,4,10,6,0,0,48,0,13
Master,Divorced,44635.0,1,1,25,56,0,0,0,0,3,2,2,0,3,7,0,0,55,2,13
Graduation,Married,58512.0,0,1,25,500,10,101,13,0,125,5,3,4,8,8,0,0,62,1,13
PhD,Single,62000.0,0,1,25,500,0,101,0,0,20,1,6,6,13,4,0,0,66,1,13
Graduation,Single,54252.0,1,1,25,178,4,26,0,4,44,5,4,1,5,6,0,0,66,2,13
PhD,Married,45068.0,0,1,25,0,0,0,0,0,3,1,1,0,2,7,0,0,52,1,13
Graduation,Single,60474.0,0,1,25,265,75,303,100,9,125,7,10,2,12,7,0,0,47,1,13
Master,Married,56337.0,1,1,25,349,16,144,28,5,125,5,8,5,4,8,1,0,45,2,13
Graduation,Married,22434.0,1,0,25,0,12,11,0,13,15,2,2,0,3,8,0,0,39,1,13
Graduation,Married,61416.0,0,0,25,500,75,323,100,61,78,1,10,3,10,6,0,0,44,0,13
Master,Married,92163.0,0,0,25,500,75,500,100,65,20,0,5,11,5,2,1,0,51,0,14
Master,Married,58656.0,0,1,25,500,12,194,16,24,12,4,7,8,13,6,0,0,66,1,14
Master,Married,52247.0,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,53,1,14
Basic,Single,8940.0,1,0,25,0,45,0,0,6,42,3,3,1,3,8,0,0,40,1,14
Graduation,Married,26751.0,2,0,26,0,1,0,0,3,1,1,1,0,2,8,0,0,52,2,12
Graduation,Married,71427.0,2,0,26,212,75,177,15,64,23,2,8,2,8,4,0,0,48,2,12
Graduation,Married,26646.0,1,0,26,0,4,20,10,3,5,2,2,0,4,6,0,0,42,1,12
Graduation,Divorced,19346.0,1,0,26,0,0,0,0,6,2,1,1,0,3,8,0,0,52,1,12
Graduation,Single,56243.0,1,2,26,347,0,35,0,3,7,6,4,2,8,5,0,0,51,3,13
